window_size,horizon,label_threshold,n_kernels,max_samples,accuracy,f1_weighted,f1_sell,f1_hold,f1_buy,sample_train,sample_test
10,3,0.03,3000,50000,0.5235,0.4477577536479996,0.19552715654952077,0.6839453895013506,0.15442798613299716,40000,10000
30,3,0.03,3000,50000,0.4957,0.44229054266544515,0.1948204826368452,0.6549477193514169,0.17861339600470036,40000,10000
30,7,0.01,1000,50000,0.4623,0.44003373013821956,0.4847001223990208,0.1487603305785124,0.502283105022831,40000,10000
10,3,0.03,2000,50000,0.5314,0.43933209734208056,0.16350067842605157,0.692679459843639,0.1341381623071764,40000,10000
30,7,0.01,3000,50000,0.453,0.43922120021639804,0.4749684958185359,0.19268179712830014,0.49363476733977174,40000,10000
20,3,0.03,3000,50000,0.495,0.4350131993886288,0.16631387964922892,0.6538490424333459,0.1906453522794553,40000,10000
30,5,0.01,3000,50000,0.4405,0.4322197993570218,0.4571845013968177,0.2620882971268395,0.48221698642432403,40000,10000
20,7,0.01,1000,50000,0.4546,0.43166723640922894,0.48246498599439774,0.14178302900107412,0.4908281775751655,40000,10000
10,7,0.01,3000,50000,0.4437,0.4263880694721052,0.46732986660637577,0.17480719794344474,0.47779346291671193,40000,10000
20,3,0.03,2000,50000,0.5104,0.4263853876974212,0.1398929049531459,0.6718783619020297,0.13750407298794395,40000,10000
10,5,0.01,1000,50000,0.4458,0.4255172781844537,0.4712710388856645,0.19499341238471674,0.484409310496267,40000,10000
30,3,0.03,2000,50000,0.5021,0.4250434276373022,0.14736164736164736,0.6670077474053501,0.1426791277258567,40000,10000
30,7,0.01,2000,50000,0.4407,0.4245171299231686,0.4655133677825208,0.18581418581418582,0.4725153913808267,40000,10000
30,5,0.01,1000,50000,0.4418,0.42346524562937066,0.4822727272727273,0.1971153846153846,0.4710477941176471,40000,10000
10,5,0.01,3000,50000,0.4353,0.4222639819962992,0.45747180451127817,0.2380038387715931,0.47191264212540807,40000,10000
20,7,0.01,2000,50000,0.4409,0.42198701397972016,0.4574259707339555,0.1468354430379747,0.4876952707040445,40000,10000
10,3,0.03,1000,50000,0.5383,0.42087863401651837,0.10907732536421368,0.7008593643432001,0.07440811724915446,40000,10000
20,5,0.01,1000,50000,0.4428,0.42061320900160754,0.47560975609756095,0.15737704918032788,0.48892825509300264,40000,10000
30,5,0.01,2000,50000,0.4318,0.4200128633023568,0.45600191296030607,0.21878373515653113,0.475781867449475,40000,10000
20,7,0.01,3000,50000,0.4343,0.41920577891270966,0.45279045279045277,0.16974169741697417,0.4790522347872913,40000,10000
30,3,0.03,1000,50000,0.5261,0.41696295759936364,0.08946608946608947,0.6893746121492105,0.10128440366972477,40000,10000
30,3,0.01,1000,50000,0.4236,0.4158493289606218,0.446699235876237,0.27816028642247315,0.4645838301931791,40000,10000
10,7,0.01,2000,50000,0.4354,0.41480959095949294,0.4504916533272353,0.14842498665242926,0.47862701204562413,40000,10000
10,7,0.01,1000,50000,0.4375,0.4146283491289323,0.4592944369063772,0.14457831325301204,0.4741693461950697,40000,10000
20,5,0.01,2000,50000,0.4289,0.4142519590824988,0.4550475966623575,0.20180722891566266,0.47198641765704585,40000,10000
20,5,0.01,3000,50000,0.4248,0.4130042414463518,0.4543504171632896,0.20677361853832443,0.46609880749574106,40000,10000
10,5,0.01,2000,50000,0.4276,0.4105806797363101,0.45384073291050037,0.2072072072072072,0.462406015037594,40000,10000
10,3,0.01,1000,50000,0.4167,0.40682405239888114,0.4324663902500314,0.2829638273045508,0.4553581794961105,40000,10000
10,5,0.03,2000,50000,0.4534,0.4042470859204014,0.2552676192782756,0.6009818275772973,0.2431924882629108,40000,10000
10,3,0.01,2000,50000,0.4096,0.4026388381474935,0.42672359663443427,0.2915179796870711,0.44460328806290206,40000,10000
10,5,0.03,3000,50000,0.4386,0.4005390547483323,0.26823742637063885,0.5870682658490396,0.23971536579942185,40000,10000
30,3,0.01,3000,50000,0.4022,0.3971592666472438,0.43407146451937595,0.2791728212703102,0.4330413016270338,40000,10000
20,3,0.01,3000,50000,0.4013,0.396857462881016,0.4252008672363219,0.27238898536343337,0.4421751968503937,40000,10000
10,3,0.01,3000,50000,0.3999,0.39480403039778705,0.43039528602995336,0.3005422153369481,0.4169903520862047,40000,10000
30,5,0.03,3000,50000,0.4118,0.3941398800135804,0.29484029484029484,0.5349018082831033,0.2679089026915114,40000,10000
20,3,0.03,1000,50000,0.517,0.3930621123489097,0.05734211545912437,0.6810479755018713,0.06754772393538913,40000,10000
20,3,0.01,1000,50000,0.4023,0.3923393693581237,0.42631058358061324,0.2536212079803225,0.44468678056464317,40000,10000
10,7,0.02,3000,50000,0.3927,0.39222645960064784,0.41363199120516697,0.35000936855911563,0.40292445166531277,40000,10000
10,7,0.02,1000,50000,0.3929,0.3918010427102796,0.40478455892347426,0.35197242435848336,0.4099178008354669,40000,10000
20,3,0.01,2000,50000,0.397,0.3908567336508143,0.41770859913243175,0.26136363636363635,0.4407720144752714,40000,10000
30,3,0.01,2000,50000,0.3961,0.3902318613315132,0.4298803766861797,0.2711276332094176,0.4255581596151474,40000,10000
10,7,0.03,3000,50000,0.4027,0.389085072850012,0.3113818043395508,0.5115217391304347,0.30869094843130185,40000,10000
10,5,0.02,3000,50000,0.3901,0.38858219716812986,0.3696085955487337,0.43253287592910233,0.3649252581291416,40000,10000
10,3,0.02,3000,50000,0.4106,0.38794225743420263,0.31037827352085356,0.5298446443172526,0.2821576763485477,40000,10000
30,7,0.02,3000,50000,0.388,0.386518541380773,0.4027640671273445,0.31285337353938936,0.4266736814415362,40000,10000
10,5,0.02,1000,50000,0.3893,0.38445803460735745,0.35135135135135137,0.45197588747488276,0.3525731268575004,40000,10000
30,3,0.02,3000,50000,0.3936,0.3836460987613006,0.3105194074629664,0.4934725848563969,0.30684931506849317,40000,10000
10,7,0.02,2000,50000,0.3838,0.3828403852503804,0.39067299636972913,0.3394336351377384,0.40748005753890415,40000,10000
20,7,0.02,2000,50000,0.3832,0.38227605005294063,0.4033519553072626,0.31559290382819793,0.41229124916499665,40000,10000
10,5,0.02,2000,50000,0.3824,0.38049222974179914,0.3638648860958366,0.43108338060124785,0.34816952757101627,40000,10000
30,7,0.03,3000,50000,0.3834,0.3784361672680355,0.3291541585731944,0.45136186770428016,0.337431693989071,40000,10000
20,7,0.02,1000,50000,0.3792,0.3777460888884859,0.4041309960592472,0.3170731707317073,0.39848505342891927,40000,10000
20,5,0.02,3000,50000,0.3782,0.3775734528668444,0.3675011809163911,0.3967321198222732,0.3690047961630695,40000,10000
10,7,0.03,2000,50000,0.3947,0.3758259108554925,0.3030869971936389,0.5093048128342246,0.28501413760603206,40000,10000
30,5,0.02,3000,50000,0.3748,0.37488046091533006,0.3614051234851971,0.3781774936821763,0.38436482084690554,40000,10000
10,5,0.03,1000,50000,0.4459,0.37486234021353976,0.19848127782141922,0.6058684873608063,0.1820526044352759,40000,10000
20,5,0.03,3000,50000,0.3989,0.3748422080158972,0.25916561314791403,0.5316576216319147,0.24500105241001893,40000,10000
10,7,0.03,1000,50000,0.4047,0.3744448213294429,0.29353734648681296,0.528955223880597,0.26490066225165565,40000,10000
30,5,0.03,2000,50000,0.4053,0.374306308610627,0.24029982363315697,0.5433941404090658,0.24251626898047723,40000,10000
10,3,0.02,2000,50000,0.4031,0.3738368482129676,0.2773873501446879,0.5308848080133556,0.2639084153444467,40000,10000
30,7,0.02,1000,50000,0.3763,0.37361745741478264,0.39421634156322466,0.29607491532177727,0.4117647058823529,40000,10000
20,7,0.02,3000,50000,0.373,0.3720115447466318,0.39485458612975394,0.3183856502242152,0.3911419423692636,40000,10000
20,3,0.02,3000,50000,0.3861,0.37169153331635185,0.3019374640322271,0.4894926767140734,0.2863000931966449,40000,10000
30,3,0.02,2000,50000,0.3905,0.3706118859485303,0.2872884691066509,0.5014821629357048,0.28120740019474194,40000,10000
20,5,0.03,2000,50000,0.4105,0.37031205560286273,0.23333333333333334,0.5580938782794931,0.21189092534644613,40000,10000
20,7,0.03,3000,50000,0.3781,0.3701502156450999,0.3080826386371874,0.45853000674308836,0.31912607449856734,40000,10000
30,5,0.02,2000,50000,0.3709,0.3700339804760575,0.3529595991230817,0.39548829240434036,0.362178517397882,40000,10000
10,3,0.02,1000,50000,0.4163,0.36932775788266836,0.26732673267326734,0.5591083500822218,0.21869328493647913,40000,10000
30,5,0.02,1000,50000,0.3682,0.36729525546968095,0.3531967721911856,0.39598566308243727,0.3534417261814314,40000,10000
30,5,0.03,1000,50000,0.4143,0.36686473050753904,0.20206383489320853,0.5641993309889356,0.2074748442740776,40000,10000
20,3,0.02,2000,50000,0.388,0.3662923560230723,0.28372569089048105,0.498284561049445,0.2758885686839577,40000,10000
30,7,0.02,2000,50000,0.3672,0.3656980277790194,0.38907943476471396,0.2995426829268293,0.3934074768859708,40000,10000
30,7,0.03,1000,50000,0.3815,0.36543821531014475,0.28734756097560976,0.480338266384778,0.2981859410430839,40000,10000
30,7,0.03,2000,50000,0.373,0.3644501843135679,0.3062132811109133,0.4636019717986931,0.29964664310954064,40000,10000
20,5,0.02,2000,50000,0.3643,0.36391192972827624,0.3504220068771491,0.37240377632534494,0.36921244603245496,40000,10000
20,5,0.03,1000,50000,0.4239,0.36390655818876316,0.18921775898520085,0.5719019218025182,0.20704633204633205,40000,10000
20,7,0.03,2000,50000,0.3729,0.36283912896654985,0.3054518297236744,0.4561757453485766,0.30618664802516604,40000,10000
20,7,0.03,1000,50000,0.3812,0.3618260793614368,0.2868292682926829,0.48258706467661694,0.2865888655060264,40000,10000
20,5,0.02,1000,50000,0.3633,0.3618233991807371,0.3436095054592164,0.3868643480670639,0.3560640732265446,40000,10000
30,3,0.02,1000,50000,0.3918,0.36044508254062874,0.25586264656616414,0.5167067886374579,0.2579045257284563,40000,10000
20,3,0.02,1000,50000,0.3908,0.3538775648240732,0.25043859649122807,0.5176227971503562,0.24140821458507963,40000,10000
